Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Matthew 18:30,ὁ δὲ οὐκ ἤθελεν ἀλλʼ ἀπελθὼν,αὐτὸν εἰς φυλακὴν ἕως  ἀποδῷ τὸ ὀφειλόμενον.
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Mark 7:33,καὶ ἀπολαβόμενος αὐτὸν ἀπὸ τοῦ ὄχλου κατʼ ἰδίαν,"τοὺς δακτύλους αὐτοῦ εἰς τὰ ὦτα αὐτοῦ καὶ πτύσας ἥψατο τῆς γλώσσης αὐτοῦ,"
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Mark 9:22,καὶ πολλάκις καὶ εἰς πῦρ αὐτὸν,"καὶ εἰς ὕδατα ἵνα ἀπολέσῃ αὐτόν· ἀλλʼ εἴ τι δύνῃ, βοήθησον ἡμῖν σπλαγχνισθεὶς ἐφʼ ἡμᾶς."
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Mark 12:42,καὶ ἐλθοῦσα μία χήρα πτωχὴ,"λεπτὰ δύο, ὅ ἐστιν κοδράντης."
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Mark 12:43,καὶ προσκαλεσάμενος τοὺς μαθητὰς αὐτοῦ εἶπεν αὐτοῖς· ἀμὴν λέγω ὑμῖν ὅτι ἡ χήρα αὕτη ἡ πτωχὴ πλεῖον πάντων,τῶν βαλλόντων εἰς τὸ γαζοφυλάκιον·
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Mark 12:44,"πάντες γὰρ ἐκ τοῦ περισσεύοντος αὐτοῖς ἔβαλον, αὕτη δὲ ἐκ τῆς ὑστερήσεως αὐτῆς πάντα ὅσα εἶχεν",ὅλον τὸν βίον αὐτῆς.
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Luke 13:19,"ὁμοία ἐστὶν κόκκῳ σινάπεως, ὃν λαβὼν ἄνθρωπος","εἰς  κῆπον ἑαυτοῦ, καὶ ηὔξησεν καὶ ἐγένετο εἰς δένδρον, καὶ τὰ πετεινὰ τοῦ"
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Luke 21:3,καὶ εἶπεν· ἀληθῶς λέγω ὑμῖν ὅτι ἡ χήρα αὕτη ἡ πτωχὴ πλεῖον πάντων,·
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Luke 21:4,"δῶρα, αὕτη δὲ ἐκ τοῦ ὑστερήματος αὐτῆς πάντα τὸν βίον ὃν εἶχεν",.
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Acts 16:24,ὃς παραγγελίαν τοιαύτην λαβὼν,αὐτοὺς εἰς τὴν ἐσωτέραν φυλακὴν καὶ τοὺς πόδας ἠσφαλίσατο αὐτῶν εἰς τὸ ξύλον.
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Acts 27:14,μετʼ οὐ πολὺ δὲ,κατʼ αὐτῆς ἄνεμος τυφωνικὸς ὁ καλούμενος εὐρακύλων·
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Revelation 8:5,καὶ εἴληφεν ὁ ἄγγελος τὸν λιβανωτὸν καὶ ἐγέμισεν αὐτὸν ἐκ τοῦ πυρὸς τοῦ θυσιαστηρίου καὶ,"εἰς τὴν γῆν, καὶ ἐγένοντο βρονταὶ καὶ φωναὶ καὶ ἀστραπαὶ καὶ σεισμός."
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Revelation 12:4,καὶ ἡ οὐρὰ αὐτοῦ σύρει τὸ τρίτον τῶν ἀστέρων τοῦ οὐρανοῦ καὶ,αὐτοὺς εἰς τὴν γῆν. Καὶ ὁ δράκων ἕστηκεν ἐνώπιον τῆς γυναικὸς τῆς μελλούσης
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Revelation 12:15,καὶ,"ὁ ὄφις ἐκ τοῦ στόματος αὐτοῦ ὀπίσω τῆς γυναικὸς ὕδωρ ὡς ποταμόν, ἵνα αὐτὴν ποταμοφόρητον ποιήσῃ."
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Revelation 12:16,καὶ ἐβοήθησεν ἡ γῆ τῇ γυναικὶ καὶ ἤνοιξεν ἡ γῆ τὸ στόμα αὐτῆς καὶ κατέπιεν τὸν ποταμὸν ὃν,ὁ δράκων ἐκ τοῦ στόματος αὐτοῦ.
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Revelation 14:16,καὶ,ὁ καθήμενος ἐπὶ τῆς νεφέλης τὸ δρέπανον αὐτοῦ ἐπὶ τὴν γῆν καὶ ἐθερίσθη ἡ γῆ.
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Revelation 14:19,καὶ,ὁ ἄγγελος τὸ δρέπανον αὐτοῦ εἰς τὴν γῆν καὶ ἐτρύγησεν τὴν ἄμπελον τῆς
ἔβαλεν,βάλλω,aorist,active,indicative,third person,singular,Revelation 14:19,καὶ ἔβαλεν ὁ ἄγγελος τὸ δρέπανον αὐτοῦ εἰς τὴν γῆν καὶ ἐτρύγησεν τὴν ἄμπελον τῆς γῆς καὶ,εἰς τὴν ληνὸν τοῦ θυμοῦ τοῦ θεοῦ τὸν μέγαν.
