Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Luke 18:29,οὐδείς ἐστιν ὃς ἀφῆκεν οἰκίαν ἢ γυναῖκα ἢ ἀδελφοὺς ἢ γονεῖς ἢ,"ἕνεκεν τῆς βασιλείας τοῦ θεοῦ,"
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Luke 19:44,καὶ ἐδαφιοῦσίν σε καὶ τὰ,"σου ἐν σοί,  καὶ οὐκ ἀφήσουσιν λίθον ἐπὶ λίθον ἐν σοί, ἀνθʼ ὧν"
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Luke 20:31,"καὶ ὁ τρίτος ἔλαβεν αὐτήν, ὡσαύτως δὲ καὶ οἱ ἑπτὰ οὐ κατέλιπον",καὶ ἀπέθανον.
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Luke 23:28,"Ἰερουσαλήμ, μὴ κλαίετε ἐπʼ ἐμέ· πλὴν ἐφʼ ἑαυτὰς κλαίετε καὶ ἐπὶ τὰ","ὑμῶν,"
τέκνα,τέκνον,—,—,—,—,neuter,"accusative, nominative",plural,John 1:12,"ὅσοι δὲ ἔλαβον αὐτόν, ἔδωκεν αὐτοῖς ἐξουσίαν","θεοῦ γενέσθαι, τοῖς πιστεύουσιν εἰς τὸ ὄνομα αὐτοῦ,"
τέκνα,τέκνον,—,—,—,—,neuter,nominative,plural,John 8:39,Ἀπεκρίθησαν καὶ εἶπαν αὐτῷ· ὁ πατὴρ ἡμῶν Ἀβραάμ ἐστιν. λέγει  αὐτοῖς ὁ Ἰησοῦς· εἰ,"τοῦ Ἀβραάμ ἐστε, τὰ ἔργα τοῦ Ἀβραὰμ ἐποιεῖτε·"
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,John 11:52,καὶ οὐχ ὑπὲρ τοῦ ἔθνους  μόνον ἀλλʼ ἵνα καὶ τὰ,τοῦ θεοῦ τὰ διεσκορπισμένα συναγάγῃ εἰς ἕν.
τέκνοις,τέκνον,—,—,—,—,neuter,dative,plural,Acts 2:39,ὑμῖν γάρ ἐστιν ἡ ἐπαγγελία καὶ τοῖς,"ὑμῶν καὶ πᾶσιν τοῖς εἰς μακράν, ὅσους ἂν προσκαλέσηται κύριος ὁ θεὸς ἡμῶν."
τέκνου,τέκνον,—,—,—,—,neuter,genitive,singular,Acts 7:5,"εἰς κατάσχεσιν αὐτὴν καὶ τῷ σπέρματι αὐτοῦ μετʼ αὐτόν, οὐκ ὄντος αὐτῷ",.
τέκνοις,τέκνον,—,—,—,—,neuter,dative,plural,Acts 13:33,ὅτι ταύτην ὁ θεὸς ἐκπεπλήρωκεν τοῖς,[αὐτῶν] ἡμῖν ἀναστήσας Ἰησοῦν ὡς καὶ ἐν τῷ ψαλμῷ γέγραπται τῷ δευτέρῳ·         υἱός
τέκνοις,τέκνον,—,—,—,—,neuter,dative,plural,Acts 21:5,"ὅτε δὲ ἐγένετο ἡμᾶς ἐξαρτίσαι τὰς ἡμέρας, ἐξελθόντες ἐπορευόμεθα προπεμπόντων ἡμᾶς πάντων σὺν γυναιξὶν καὶ","ἕως ἔξω τῆς πόλεως, καὶ θέντες τὰ γόνατα ἐπὶ τὸν αἰγιαλὸν προσευξάμενοι"
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Acts 21:21,Μωϋσέως τοὺς κατὰ τὰ ἔθνη πάντας Ἰουδαίους λέγων μὴ περιτέμνειν αὐτοὺς τὰ,μηδὲ τοῖς ἔθεσιν περιπατεῖν.
τέκνα,τέκνον,—,—,—,—,neuter,nominative,plural,Romans 8:16,αὐτὸ τὸ πνεῦμα συμμαρτυρεῖ τῷ πνεύματι ἡμῶν ὅτι ἐσμὲν,θεοῦ.
τέκνα,τέκνον,—,—,—,—,neuter,nominative,plural,Romans 8:17,εἰ δὲ,", καὶ κληρονόμοι· κληρονόμοι μὲν θεοῦ, συγκληρονόμοι δὲ Χριστοῦ, εἴπερ συμπάσχομεν ἵνα καὶ συνδοξασθῶμεν."
τέκνων,τέκνον,—,—,—,—,neuter,genitive,plural,Romans 8:21,ὅτι καὶ αὐτὴ ἡ κτίσις ἐλευθερωθήσεται ἀπὸ τῆς δουλείας τῆς φθορᾶς εἰς τὴν ἐλευθερίαν τῆς δόξης τῶν,τοῦ θεοῦ.
τέκνα,τέκνον,—,—,—,—,neuter,nominative,plural,Romans 9:7,οὐδʼ ὅτι εἰσὶν σπέρμα Ἀβραὰμ πάντες,", ἀλλʼ· ἐν Ἰσαὰκ κληθήσεταί σοι σπέρμα."
τέκνα,τέκνον,—,—,—,—,neuter,nominative,plural,Romans 9:8,"τοῦτʼ ἔστιν,  οὐ τὰ",τῆς σαρκὸς ταῦτα τέκνα τοῦ θεοῦ ἀλλὰ τὰ τέκνα τῆς ἐπαγγελίας λογίζεται εἰς σπέρμα.
τέκνα,τέκνον,—,—,—,—,neuter,nominative,plural,Romans 9:8,"τοῦτʼ ἔστιν,  οὐ τὰ τέκνα τῆς σαρκὸς ταῦτα",τοῦ θεοῦ ἀλλὰ τὰ τέκνα τῆς ἐπαγγελίας λογίζεται εἰς σπέρμα.
τέκνα,τέκνον,—,—,—,—,neuter,nominative,plural,Romans 9:8,"τοῦτʼ ἔστιν,  οὐ τὰ τέκνα τῆς σαρκὸς ταῦτα τέκνα τοῦ θεοῦ ἀλλὰ τὰ",τῆς ἐπαγγελίας λογίζεται εἰς σπέρμα.
