Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
πιστεύων,πιστεύω,present,active,participle,—,masculine,nominative,singular,John 6:40,"τοῦτο γάρ ἐστιν τὸ θέλημα τοῦ πατρός μου, ἵνα πᾶς ὁ θεωρῶν τὸν υἱὸν καὶ","εἰς αὐτὸν ἔχῃ ζωὴν αἰώνιον, καὶ ἀναστήσω αὐτὸν ἐγὼ [ἐν] τῇ ἐσχάτῃ ἡμέρᾳ."
πιστεύων,πιστεύω,present,active,participle,—,masculine,nominative,singular,John 6:47,"Ἀμὴν ἀμὴν λέγω ὑμῖν, ὁ",ἔχει ζωὴν αἰώνιον.
πιστεύουσιν,πιστεύω,present,active,indicative,third person,—,—,plural,John 6:64,ἀλλʼ εἰσὶν ἐξ ὑμῶν τινες οἳ οὐ,.  ᾔδει γὰρ ἐξ ἀρχῆς ὁ Ἰησοῦς τίνες εἰσὶν οἱ μὴ πιστεύοντες καὶ τίς ἐστιν ὁ παραδώσων αὐτόν.
πιστεύοντες,πιστεύω,present,active,participle,—,masculine,nominative,plural,John 6:64,ἀλλʼ εἰσὶν ἐξ ὑμῶν τινες οἳ οὐ πιστεύουσιν.  ᾔδει γὰρ ἐξ ἀρχῆς ὁ Ἰησοῦς τίνες εἰσὶν οἱ μὴ,καὶ τίς ἐστιν ὁ παραδώσων αὐτόν.
πεπιστεύκαμεν,πιστεύω,perfect,active,indicative,first person,—,—,plural,John 6:69,καὶ ἡμεῖς,καὶ ἐγνώκαμεν ὅτι σὺ εἶ ὁ ἅγιος τοῦ θεοῦ.
ἐπίστευον,πιστεύω,imperfect,active,indicative,third person,—,—,plural,John 7:5,οὐδὲ γὰρ οἱ ἀδελφοὶ αὐτοῦ,εἰς αὐτόν.
ἐπίστευσαν,πιστεύω,aorist,active,indicative,third person,—,—,plural,John 7:31,Ἐκ τοῦ ὄχλου δὲ πολλοὶ,εἰς αὐτὸν καὶ ἔλεγον· ὁ χριστὸς ὅταν ἔλθῃ μὴ πλείονα σημεῖα ποιήσει ὧν οὗτος ἐποίησεν;
πιστεύων,πιστεύω,present,active,participle,—,masculine,nominative,singular,John 7:38,ὁ,"εἰς ἐμέ, καθὼς εἶπεν ἡ γραφή, ποταμοὶ ἐκ τῆς κοιλίας αὐτοῦ ῥεύσουσιν ὕδατος ζῶντος."
πιστεύσαντες,πιστεύω,aorist,active,participle,—,masculine,nominative,plural,John 7:39,τοῦτο δὲ εἶπεν περὶ τοῦ πνεύματος ὃ ἔμελλον λαμβάνειν οἱ,"εἰς αὐτόν· οὔπω γὰρ ἦν πνεῦμα, ὅτι Ἰησοῦς οὐδέπω ἐδοξάσθη."
ἐπίστευσεν,πιστεύω,aorist,active,indicative,third person,—,—,singular,John 7:48,μή τις ἐκ τῶν ἀρχόντων,εἰς αὐτὸν ἢ ἐκ τῶν Φαρισαίων;
πιστεύσητε,πιστεύω,aorist,active,subjunctive,second person,—,—,plural,John 8:24,εἶπον οὖν ὑμῖν ὅτι ἀποθανεῖσθε ἐν ταῖς ἁμαρτίαις ὑμῶν· ἐὰν γὰρ μὴ,"ὅτι ἐγώ εἰμι, ἀποθανεῖσθε ἐν ταῖς ἁμαρτίαις ὑμῶν."
ἐπίστευσαν,πιστεύω,aorist,active,indicative,third person,—,—,plural,John 8:30,Ταῦτα αὐτοῦ λαλοῦντος πολλοὶ,εἰς αὐτόν.
πεπιστευκότας,πιστεύω,perfect,active,participle,—,masculine,accusative,plural,John 8:31,Ἔλεγεν οὖν ὁ Ἰησοῦς πρὸς τοὺς,"αὐτῷ Ἰουδαίους· ἐὰν ὑμεῖς μείνητε ἐν τῷ λόγῳ τῷ ἐμῷ, ἀληθῶς μαθηταί μού ἐστε"
πιστεύετέ,πιστεύω,present,active,indicative,second person,—,—,plural,John 8:45,"ἐγὼ δὲ ὅτι τὴν ἀλήθειαν λέγω, οὐ",μοι.
πιστεύετέ,πιστεύω,present,active,indicative,second person,—,—,plural,John 8:46,"τίς ἐξ ὑμῶν ἐλέγχει με περὶ ἁμαρτίας; εἰ ἀλήθειαν λέγω, διὰ τί ὑμεῖς οὐ",μοι;
ἐπίστευσαν,πιστεύω,aorist,active,indicative,third person,—,—,plural,John 9:18,Οὐκ,οὖν οἱ Ἰουδαῖοι περὶ αὐτοῦ ὅτι ἦν τυφλὸς καὶ ἀνέβλεψεν ἕως ὅτου ἐφώνησαν
πιστεύεις,πιστεύω,present,active,indicative,second person,—,—,singular,John 9:35,Ἤκουσεν  Ἰησοῦς ὅτι ἐξέβαλον αὐτὸν ἔξω καὶ εὑρὼν αὐτὸν εἶπεν ·  σὺ,εἰς τὸν υἱὸν τοῦ ἀνθρώπου;
πιστεύσω,πιστεύω,aorist,active,subjunctive,first person,—,—,singular,John 9:36,"ἀπεκρίθη ἐκεῖνος καὶ εἶπεν· καὶ τίς ἐστιν, κύριε, ἵνα",εἰς αὐτόν;
πιστεύω,πιστεύω,present,active,indicative,first person,—,—,singular,John 9:38,ὁ δὲ ἔφη·,", κύριε· καὶ προσεκύνησεν αὐτῷ."
πιστεύετε,πιστεύω,present,active,indicative,second person,—,—,plural,John 10:25,ἀπεκρίθη αὐτοῖς ὁ Ἰησοῦς·  εἶπον ὑμῖν καὶ οὐ,· τὰ ἔργα ἃ ἐγὼ ποιῶ ἐν τῷ ὀνόματι τοῦ πατρός μου ταῦτα μαρτυρεῖ περὶ ἐμοῦ·
πιστεύετε,πιστεύω,present,active,indicative,second person,—,—,plural,John 10:26,ἀλλʼ ὑμεῖς οὐ,", ὅτι οὐκ ἐστὲ ἐκ τῶν προβάτων τῶν ἐμῶν."
πιστεύετέ,πιστεύω,present,active,imperative,second person,—,—,plural,John 10:37,"εἰ οὐ ποιῶ τὰ ἔργα τοῦ πατρός μου, μὴ",μοι·
