Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἔμεινεν,μένω,aorist,active,indicative,third person,—,—,singular,John 10:40,Καὶ ἀπῆλθεν πάλιν πέραν τοῦ Ἰορδάνου εἰς τὸν τόπον ὅπου ἦν Ἰωάννης τὸ πρῶτον βαπτίζων καὶ,ἐκεῖ.
ἔμεινεν,μένω,aorist,active,indicative,third person,—,—,singular,John 11:6,"Ὡς οὖν ἤκουσεν ὅτι ἀσθενεῖ, τότε μὲν","ἐν ᾧ ἦν τόπῳ δύο ἡμέρας,"
ἔμεινεν,μένω,aorist,active,indicative,third person,—,—,singular,John 11:54,"ἐκεῖθεν εἰς τὴν χώραν  ἐγγὺς τῆς ἐρήμου, εἰς Ἐφραὶμ λεγομένην πόλιν, κἀκεῖ",μετὰ τῶν μαθητῶν.
μένει,μένω,present,active,indicative,third person,—,—,singular,John 12:24,"ἀμὴν ἀμὴν λέγω ὑμῖν, ἐὰν μὴ ὁ κόκκος τοῦ σίτου πεσὼν εἰς τὴν γῆν ἀποθάνῃ, αὐτὸς μόνος","· ἐὰν δὲ ἀποθάνῃ, πολὺν καρπὸν φέρει."
μένει,μένω,present,active,indicative,third person,—,—,singular,John 12:34,Ἀπεκρίθη οὖν αὐτῷ ὁ ὄχλος· ἡμεῖς ἠκούσαμεν ἐκ τοῦ νόμου ὅτι ὁ χριστὸς,"εἰς τὸν αἰῶνα, καὶ πῶς λέγεις σὺ ὅτι δεῖ ὑψωθῆναι τὸν υἱὸν τοῦ"
μείνῃ,μένω,aorist,active,subjunctive,third person,—,—,singular,John 12:46,"ἐγὼ φῶς εἰς τὸν κόσμον ἐλήλυθα, ἵνα πᾶς ὁ πιστεύων εἰς ἐμὲ ἐν τῇ σκοτίᾳ μὴ",.
μένων,μένω,present,active,participle,—,masculine,nominative,singular,John 14:10,"ἐγὼ λέγω ὑμῖν ἀπʼ ἐμαυτοῦ οὐ λαλῶ, ὁ δὲ πατὴρ  ἐν ἐμοὶ",ποιεῖ τὰ ἔργα αὐτοῦ.
μένει,μένω,present,active,indicative,third person,—,—,singular,John 14:17,"ὅτι οὐ θεωρεῖ αὐτὸ οὐδὲ γινώσκει· ὑμεῖς  γινώσκετε αὐτό, ὅτι παρʼ ὑμῖν",καὶ ἐν ὑμῖν ἔσται.
μένων,μένω,present,active,participle,—,masculine,nominative,singular,John 14:25,Ταῦτα λελάληκα ὑμῖν παρʼ ὑμῖν,·
μείνατε,μένω,aorist,active,imperative,second person,—,—,plural,John 15:4,—,"ἐν ἐμοί, κἀγὼ ἐν ὑμῖν. καθὼς τὸ κλῆμα οὐ δύναται καρπὸν φέρειν ἀφʼ"
μένῃ,μένω,present,active,subjunctive,third person,—,—,singular,John 15:4,"μείνατε ἐν ἐμοί, κἀγὼ ἐν ὑμῖν. καθὼς τὸ κλῆμα οὐ δύναται καρπὸν φέρειν ἀφʼ ἑαυτοῦ ἐὰν μὴ","ἐν τῇ ἀμπέλῳ, οὕτως οὐδὲ ὑμεῖς ἐὰν μὴ ἐν ἐμοὶ μένητε."
μένητε,μένω,present,active,subjunctive,second person,—,—,plural,John 15:4,"μὴ μένῃ ἐν τῇ ἀμπέλῳ, οὕτως οὐδὲ ὑμεῖς ἐὰν μὴ ἐν ἐμοὶ",.
μένων,μένω,present,active,participle,—,masculine,nominative,singular,John 15:5,"ἐγώ εἰμι ἡ ἄμπελος, ὑμεῖς τὰ κλήματα. ὁ","ἐν ἐμοὶ κἀγὼ ἐν αὐτῷ οὗτος φέρει καρπὸν πολύν, ὅτι χωρὶς ἐμοῦ οὐ δύνασθε ποιεῖν οὐδέν."
μένῃ,μένω,present,active,subjunctive,third person,—,—,singular,John 15:6,ἐὰν μή τις,"ἐν ἐμοί, ἐβλήθη ἔξω ὡς τὸ κλῆμα καὶ ἐξηράνθη καὶ συνάγουσιν αὐτὰ καὶ"
μείνητε,μένω,aorist,active,subjunctive,second person,—,—,plural,John 15:7,ἐὰν,"ἐν ἐμοὶ καὶ τὰ ῥήματά μου ἐν ὑμῖν μείνῃ, ὃ ἐὰν θέλητε αἰτήσασθε, καὶ γενήσεται ὑμῖν."
μείνῃ,μένω,aorist,active,subjunctive,third person,—,—,singular,John 15:7,ἐὰν μείνητε ἐν ἐμοὶ καὶ τὰ ῥήματά μου ἐν ὑμῖν,", ὃ ἐὰν θέλητε αἰτήσασθε, καὶ γενήσεται ὑμῖν."
μείνατε,μένω,aorist,active,imperative,second person,—,—,plural,John 15:9,"Καθὼς ἠγάπησέν με ὁ πατήρ, κἀγὼ ὑμᾶς ἠγάπησα·",ἐν τῇ ἀγάπῃ τῇ ἐμῇ.
μενεῖτε,μένω,future,active,indicative,second person,—,—,plural,John 15:10,"ἐὰν τὰς ἐντολάς μου τηρήσητε,","ἐν τῇ ἀγάπῃ μου, καθὼς ἐγὼ τὰς ἐντολὰς τοῦ πατρός μου τετήρηκα καὶ"
