Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Revelation 9:9,καὶ,"θώρακας ὡς θώρακας σιδηροῦς, καὶ ἡ φωνὴ τῶν πτερύγων αὐτῶν ὡς φωνὴ ἁρμάτων"
εἶχες,ἔχω,imperfect,active,indicative,second person,singular,John 19:11,ἀπεκρίθη [αὐτῷ] Ἰησοῦς· οὐκ,ἐξουσίαν κατʼ ἐμοῦ οὐδεμίαν εἰ μὴ ἦν δεδομένον σοι ἄνωθεν· διὰ τοῦτο ὁ
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,John 2:25,καὶ ὅτι οὐ χρείαν,ἵνα τις μαρτυρήσῃ περὶ τοῦ ἀνθρώπου· αὐτὸς γὰρ ἐγίνωσκεν τί ἦν ἐν τῷ ἀνθρώπῳ.
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Acts 2:45,καὶ τὰ κτήματα καὶ τὰς ὑπάρξεις ἐπίπρασκον καὶ διεμέριζον αὐτὰ  πᾶσιν καθότι ἄν τις χρείαν,·
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Acts 4:35,"καὶ ἐτίθουν παρὰ τοὺς πόδας τῶν ἀποστόλων, διεδίδετο δὲ  ἑκάστῳ καθότι ἄν τις χρείαν",.
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Matthew 3:4,αὐτὸς δὲ ὁ Ἰωάννης,τὸ ἔνδυμα αὐτοῦ ἀπὸ τριχῶν καμήλου καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Matthew 13:5,ἄλλα δὲ ἔπεσεν ἐπὶ τὰ πετρώδη ὅπου οὐκ,"γῆν πολλήν, καὶ εὐθέως ἐξανέτειλεν διὰ τὸ μὴ ἔχειν βάθος γῆς·"
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Matthew 13:46,εὑρὼν δὲ ἕνα πολύτιμον μαργαρίτην ἀπελθὼν πέπρακεν πάντα ὅσα,καὶ ἠγόρασεν αὐτόν.
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Matthew 21:28,Τί δὲ ὑμῖν δοκεῖ; ἄνθρωπος,"τέκνα δύο. καὶ προσελθὼν τῷ πρώτῳ εἶπεν· τέκνον, ὕπαγε σήμερον ἐργάζου ἐν τῷ ἀμπελῶνι."
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Mark 4:5,καὶ ἄλλο ἔπεσεν ἐπὶ τὸ πετρῶδες ὅπου οὐκ,"γῆν πολλήν, καὶ εὐθὺς ἐξανέτειλεν διὰ τὸ μὴ ἔχειν βάθος γῆς·"
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Mark 5:3,ὃς τὴν κατοίκησιν,"ἐν τοῖς μνήμασιν, καὶ οὐδὲ ἁλύσει οὐκέτι οὐδεὶς ἐδύνατο αὐτὸν δῆσαι"
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Mark 7:25,"ἀλλʼ εὐθὺς ἀκούσασα γυνὴ περὶ αὐτοῦ, ἧς","τὸ θυγάτριον αὐτῆς πνεῦμα ἀκάθαρτον, ἐλθοῦσα προσέπεσεν πρὸς τοὺς πόδας αὐτοῦ·"
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Mark 12:6,ἔτι ἕνα,υἱὸν ἀγαπητόν·  ἀπέστειλεν αὐτὸν ἔσχατον πρὸς αὐτοὺς λέγων ὅτι ἐντραπήσονται τὸν υἱόν μου.
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Mark 12:44,"πάντες γὰρ ἐκ τοῦ περισσεύοντος αὐτοῖς ἔβαλον, αὕτη δὲ ἐκ τῆς ὑστερήσεως αὐτῆς πάντα ὅσα",ἔβαλεν ὅλον τὸν βίον αὐτῆς.
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Mark 16:8,"Καὶ ἐξελθοῦσαι ἔφυγον ἀπὸ τοῦ μνημείου,",γὰρ αὐτὰς τρόμος καὶ ἔκστασις· καὶ οὐδενὶ οὐδὲν εἶπαν· ἐφοβοῦντο γάρ.    Πάντα δὲ
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Luke 15:11,Εἶπεν δέ· ἄνθρωπός τις,δύο υἱούς.
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Luke 16:1,Ἔλεγεν δὲ καὶ πρὸς τοὺς μαθητάς· ἄνθρωπός τις ἦν πλούσιος ὃς,"οἰκονόμον, καὶ οὗτος διεβλήθη αὐτῷ ὡς διασκορπίζων τὰ ὑπάρχοντα αὐτοῦ."
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,Luke 21:4,"τὰ δῶρα, αὕτη δὲ ἐκ τοῦ ὑστερήματος αὐτῆς πάντα τὸν βίον ὃν",ἔβαλεν.
εἶχεν,ἔχω,imperfect,active,indicative,third person,singular,John 13:29,"τινὲς γὰρ ἐδόκουν, ἐπεὶ τὸ γλωσσόκομον","Ἰούδας, ὅτι λέγει αὐτῷ [ὁ] Ἰησοῦς· ἀγόρασον ὧν χρείαν ἔχομεν εἰς τὴν ἑορτήν"
